"title","year","rating","num_ratings","count"
"Revolutionary Road","2008-01-01",3.5,46044,2
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","1996-01-01",0,0,2
"Georgia Rule","2007-01-01",3,64056,2
"Q","1982-01-01",0,0,2
"Moulin Rouge!","2001-01-01",3.7,110817,2
"East of Eden","1955-01-01",4,5957,2
"Alien³","1992-01-01",3.1,30526,2
"The Assassination of Jesse James by the Coward Robert Ford","2007-01-01",3.7,57534,3
"Albino Alligator","1996-01-01",3,1198,2
"Kiss of Death","1995-01-01",2.9,2125,2
"The Bridges of Madison County","1995-01-01",3.6,11573,2
"King Solomon's Mines","1950-01-01",0,0,3
"The Day of the Locust","1975-01-01",3.6,582,2
"Chun gwong cha sit","1997-01-01",4.1,4907,2
"SubUrbia","1996-01-01",3.3,1247,2
"Santa Claus","1985-01-01",3.1,2513,2
"The Thin Blue Line","1988-01-01",4,1805,2
"The Parent Trap","1998-01-01",3.1,41455,2
"The Hole","2001-01-01",3.1,5670,2
"Rollerball","1975-01-01",3.2,2655,2
"Casino Royale","2006-01-01",3.9,155430,2
"Cinderella","1950-01-01",3.5,63946,2
"Eye for an Eye","1996-01-01",0,0,2
"Sullivan's Travels","1941-01-01",4.2,2289,2
"Dangerous Liaisons","1988-01-01",3.7,11359,2
"Killer Movie","2008-01-01",0,0,2
"Cape Fear","1991-01-01",3.4,13943,3
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","2006-01-01",3.4,141091,2
"Before Sunset","2004-01-01",4,20750,2
"Transformers","2007-01-01",0,0,2
"Interview","2007-01-01",3.2,14637,2
"The Beach","2000-01-01",2.9,21479,4
"Nirgendwo in Afrika","2001-01-01",4,1773,2
"Funny Games U.S.","2007-01-01",3.2,16153,2
"King of Kings","1961-01-01",3.7,879,2
"The Break-Up","2006-01-01",3.1,107481,3
"A Star Is Born","1937-01-01",0,0,2
"The Devil-Doll","1936-01-01",0,0,2
"Assault on Precinct 13","2005-01-01",3.1,12635,2
"Sleepwalking","2008-01-01",3,8038,2
"Boogeyman","2005-01-01",2.5,13866,2
"Innocence","2004-01-01",3.7,1170,2
"The Forgotten","2004-01-01",2.9,13766,2
"Traffic","2000-01-01",3.5,26217,2
"The Power of Nightmares: The Rise of the Politics of Fear","2004-01-01",4.5,575,2
"Treasure Island","1990-01-01",0,0,2
"The Ring","2002-01-01",3,146246,3
"The Riches","2007-01-01",NULL,NULL,2
"Oh, God! You Devil","1984-01-01",0,0,2
"Dead Poets Society","1989-01-01",3.8,56733,2
"The Bellboy","1960-01-01",0,0,2
"Wonderland","2003-01-01",3.3,3666,3
"CrissCross","1992-01-01",0,0,2
"Cloak & Dagger","1984-01-01",0,0,2
"Flight of the Navigator","1986-01-01",0,0,2
"The Jungle Book","1967-01-01",3.5,35715,3
"My Darling Clementine","1946-01-01",3.8,1741,2
"Babe","1995-01-01",3,22954,2
"Flirting with Disaster","1996-01-01",3.3,2127,2
"Alone in the Dark","2005-01-01",2.1,8641,3
"Fever Pitch","2005-01-01",3,14004,2
"The MatchMaker","1997-01-01",3.3,1220,2
"See No Evil","2006-01-01",3.3,46137,2
"Asylum","2008-01-01",2.2,1071,2
"Insomnia","2002-01-01",3.2,18085,2
"Kicking & Screaming","2005-01-01",3,14260,2
"Soldier","1998-01-01",2.8,5503,2
"The Vampire Bat","1933-01-01",0,0,2
"3:10 to Yuma","2007-01-01",3.9,139372,2
"Blind Date","1987-01-01",2.9,2983,2
"Match Point","2005-01-01",3.4,41276,2
"Face/Off","1997-01-01",3.5,62348,3
"Underworld","2003-01-01",3.6,101467,2
"The King and I","1956-01-01",3.6,12939,2
"Fun with Dick and Jane","2005-01-01",3.2,80127,2
"Bangkok Dangerous","2008-01-01",2.8,23793,2
"Courage Under Fire","1996-01-01",3.2,6918,2
"The Fourth Protocol","1987-01-01",3.4,544,2
"Kagemusha","1980-01-01",4.2,4005,2
"The Maltese Falcon","1941-01-01",4,14452,2
"Conspiracy","2008-01-01",2.5,968,2
"Where the Heart Is","2000-01-01",3.5,12595,2
"The General","1926-01-01",4.4,3785,3
"Phenomenon","1996-01-01",3,9166,2
"The Island","2005-01-01",3.3,41199,2
"The Nutty Professor","1996-01-01",2.9,25286,2
"The Incredible Hulk","2008-01-01",3.6,124298,2
"Gangs of New York","2002-01-01",3.5,35768,2
"The Enforcer","1976-01-01",3.4,3350,2
"Strangers on a Train","1951-01-01",4,9106,2
"Death Race","2008-01-01",3.5,50505,2
